f127.0.0.1:2222,127.0.0.1:1111	0	1	0	0	0
f127.0.0.1:2222,127.0.0.1:1111	6	0
f127.0.0.1:1111,127.0.0.1:2222	7	1	0	0	1
f127.0.0.1:1111,127.0.0.1:2222	7	0
f127.0.0.1:2222,127.0.0.1:1111	7	1	0	0	2
f127.0.0.1:2222,127.0.0.1:1111	13	0
f127.0.0.1:1111,127.0.0.1:2222	14	1	1	0	3
f127.0.0.1:1111,127.0.0.1:2222	19	0
f127.0.0.1:2222,127.0.0.1:1111	19	1	0	1	4
f127.0.0.1:2222,127.0.0.1:1111	25	0
f127.0.0.1:1111,127.0.0.1:2222	25	1	2	0	3
f127.0.0.1:1111,127.0.0.1:2222	25	2	3	0	3
f127.0.0.1:1111,127.0.0.1:2222	33	1
f127.0.0.1:2222,127.0.0.1:1111	33	2	0	2	4
f127.0.0.1:1111,127.0.0.1:2222	33	1
f127.0.0.1:2222,127.0.0.1:1111	33	2	0	3	4
f127.0.0.1:2222,127.0.0.1:1111	41	1
f127.0.0.1:1111,127.0.0.1:2222	42	2	4	0	3
f127.0.0.1:1111,127.0.0.1:2222	42	1
f127.0.0.1:1111,127.0.0.1:2222	42	-1	4	0
f127.0.0.1:1111,127.0.0.1:2222	42	2	5	0	3
f127.0.0.1:1111,127.0.0.1:2222	50	1
f127.0.0.1:2222,127.0.0.1:1111	50	0
f127.0.0.1:2222,127.0.0.1:1111	50	1	0	3	4
f127.0.0.1:1111,127.0.0.1:2222	50	2	6	0	3
f127.0.0.1:1111,127.0.0.1:2222	51	3	7	0	3
f127.0.0.1:1111,127.0.0.1:2222	51	2
f127.0.0.1:1111,127.0.0.1:2222	51	-1	7	0
f127.0.0.1:1111,127.0.0.1:2222	56	1
f127.0.0.1:2222,127.0.0.1:1111	56	0
f127.0.0.1:2222,127.0.0.1:1111	57	1	0	3	4
f127.0.0.1:2222,127.0.0.1:1111	66	0
f127.0.0.1:1111,127.0.0.1:2222	1051	1	4	0	3
f127.0.0.1:1111,127.0.0.1:2222	1055	0
f127.0.0.1:2222,127.0.0.1:1111	1056	1	0	4	4
f127.0.0.1:2222,127.0.0.1:1111	1061	0
f127.0.0.1:1111,127.0.0.1:2222	1062	1	5	0	3
f127.0.0.1:1111,127.0.0.1:2222	1062	2	6	0	3
f127.0.0.1:1111,127.0.0.1:2222	1066	1
f127.0.0.1:2222,127.0.0.1:1111	1066	2	0	5	4
f127.0.0.1:1111,127.0.0.1:2222	1070	1
f127.0.0.1:2222,127.0.0.1:1111	1070	2	0	6	4
f127.0.0.1:2222,127.0.0.1:1111	1072	1
f127.0.0.1:1111,127.0.0.1:2222	1072	2	7	0	3
f127.0.0.1:1111,127.0.0.1:2222	1076	1
